Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423059096,0405C430,true,Rx,0,8,02,64,82,2D,31,FF,B6,00,
-1762630423059011,0405C530,true,Rx,0,5,02,24,00,30,00,00,00,00,
-1762630423058883,0405C530,true,Rx,0,5,01,65,FF,B5,FE,00,00,00,
-1762630423055555,04072001,true,Rx,0,4,00,00,00,01,00,00,00,00,
-1762630423049454,0401E411,true,Rx,0,7,00,01,02,00,00,00,00,00,
-1762630423049326,0401E411,true,Rx,0,7,01,01,05,00,00,00,00,00,
-1762630423049198,0401E451,true,Rx,0,8,01,97,72,FE,FF,FF,00,00,
-1762630423049027,0401E451,true,Rx,0,8,00,97,4B,FF,FF,FF,00,00,
-1762630423045742,040A2011,true,Rx,0,8,E9,FF,F7,FF,D1,03,9A,8E,
-1762630423045614,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,9A,8E,
-1762630423044163,040A2012,true,Rx,0,8,0D,00,F7,FF,E8,03,9B,8E,
-1762630423044035,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,9B,8E,
-1762630423042371,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423041475,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423039897,0401E412,true,Rx,0,7,00,01,FF,FF,00,00,00,00,
-1762630423039769,0401E412,true,Rx,0,7,01,01,FD,FF,00,00,00,00,
-1762630423039641,0401E452,true,Rx,0,8,01,A0,C9,F5,FF,FF,00,00,
-1762630423039470,0401E452,true,Rx,0,8,00,A0,44,F5,FF,FF,00,00,
-1762630423029444,0401E411,true,Rx,0,7,00,01,FE,FF,00,00,00,00,
-1762630423029316,0401E411,true,Rx,0,7,01,01,02,00,00,00,00,00,
-1762630423029145,0401E451,true,Rx,0,8,01,AB,72,FE,FF,FF,00,00,
-1762630423029017,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423028932,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423028761,0401E451,true,Rx,0,8,00,AB,4B,FF,FF,FF,00,00,
-1762630423025732,040A2011,true,Rx,0,8,EA,FF,FA,FF,D0,03,AE,8E,
-1762630423025604,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,AE,8E,
-1762630423025476,040D6863,true,Rx,0,6,00,00,00,00,00,01,00,00,
-1762630423025348,040D6843,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630423024580,0405240A,true,Rx,0,3,05,00,00,00,00,00,00,00,
-1762630423024196,040A2012,true,Rx,0,8,0C,00,FE,FF,EC,03,AF,8E,
-1762630423024068,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,AF,8E,
-1762630423023385,040D6863,true,Rx,0,6,01,00,00,00,00,01,00,00,
-1762630423021423,040D6843,true,Rx,0,3,01,00,00,00,00,00,00,00,
-1762630423019930,0401E412,true,Rx,0,7,00,01,02,00,00,00,00,00,
-1762630423019802,0401E412,true,Rx,0,7,01,01,FE,FF,00,00,00,00,
-1762630423019631,0401E452,true,Rx,0,8,01,B4,C9,F5,FF,FF,00,00,
-1762630423019503,0401E452,true,Rx,0,8,00,B4,44,F5,FF,FF,00,00,
-1762630423018948,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423016986,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423012604,04048421,true,Rx,0,0,00,00,00,00,00,00,00,00,
-1762630423012263,0405C40F,true,Rx,0,8,00,01,41,40,81,51,5C,2E,
-1762630423012135,0405C42F,true,Rx,0,8,00,64,A3,29,E0,FF,30,00,
-1762630423012007,0405C52F,true,Rx,0,5,00,02,00,1C,00,00,00,00,
-1762630423011879,0405C40F,true,Rx,0,8,01,01,DF,3F,E2,51,B7,1D,
-1762630423011751,0405C42F,true,Rx,0,8,01,64,A4,29,00,00,61,00,
-1762630423011623,0405C40F,true,Rx,0,8,02,01,3B,41,B1,51,55,D5,
-1762630423011452,0405C42F,true,Rx,0,8,02,64,82,28,F4,FF,35,00,
-1762630423011367,0405C52F,true,Rx,0,5,01,07,00,9E,FF,00,00,00,
-1762630423011239,0405C52F,true,Rx,0,5,02,0D,00,0D,00,00,00,00,
-1762630423010428,0405C410,true,Rx,0,8,00,01,CC,45,4D,87,4F,72,
-1762630423010300,0405C430,true,Rx,0,8,00,64,69,08,DA,00,A4,00,
-1762630423010172,0405C410,true,Rx,0,8,01,01,7E,4C,CE,87,ED,47,
-1762630423010001,0405C430,true,Rx,0,8,01,64,CB,2B,26,02,D2,FF,
-1762630423009873,0405C530,true,Rx,0,5,00,EB,FE,EC,FE,00,00,00,
-1762630423009788,0405C410,true,Rx,0,8,02,01,42,45,68,89,CC,8A,
-1762630423009617,0405C430,true,Rx,0,8,02,64,8B,2D,28,00,81,00,
