Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423045295,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423045124,0401E451,true,Rx,0,8,00,DA,88,01,00,00,E3,F8,
-1762630423044996,0405C410,true,Rx,0,8,00,01,06,36,72,1F,FA,0B,
-1762630423044868,0405C430,true,Rx,0,8,00,64,F3,24,68,01,E7,00,
-1762630423044698,0405C410,true,Rx,0,8,01,01,7C,36,D8,1E,1B,0C,
-1762630423044570,0405C430,true,Rx,0,8,01,64,30,24,23,01,A7,FD,
-1762630423044484,0405C52F,true,Rx,0,5,02,6E,00,3D,00,00,00,00,
-1762630423044314,0405C410,true,Rx,0,8,02,01,A4,36,CC,1D,CD,0A,
-1762630423044228,0405C530,true,Rx,0,5,01,82,FD,3E,03,00,00,00,
-1762630423044100,0405C430,true,Rx,0,8,02,64,78,24,BA,02,A0,FE,
-1762630423043972,0405C530,true,Rx,0,5,02,43,FE,60,02,00,00,00,
-1762630423043844,0405C530,true,Rx,0,5,00,7A,FF,34,FF,00,00,00,
-1762630423041668,04098C31,true,Rx,0,3,00,67,09,00,00,00,00,00,
-1762630423041583,04098C51,true,Rx,0,3,00,E5,00,00,00,00,00,00,
-1762630423040090,0401E481,true,Rx,0,4,11,01,D1,FE,00,00,00,00,
-1762630423040004,0401E481,true,Rx,0,4,11,00,D7,FE,00,00,00,00,
-1762630423039876,0401E481,true,Rx,0,4,12,00,46,FE,00,00,00,00,
-1762630423039791,0401E481,true,Rx,0,4,12,01,62,FF,00,00,00,00,
-1762630423039663,0405280B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423038426,0405280C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423037487,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423034671,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423031813,040A2012,true,Rx,0,8,91,FF,3A,00,11,05,E6,84,
-1762630423031685,04056412,true,Rx,0,8,FB,FF,0F,00,98,00,E6,84,
-1762630423031514,0401E412,true,Rx,0,7,00,05,39,00,99,FE,01,00,
-1762630423031386,0401E412,true,Rx,0,7,01,05,FD,FF,05,FF,01,00,
-1762630423031215,0401E452,true,Rx,0,8,01,E7,CA,01,00,00,C0,FB,
-1762630423031087,0401E452,true,Rx,0,8,00,E7,D2,FF,FF,FF,42,F7,
-1762630423030192,040A2011,true,Rx,0,8,E9,FF,FD,FF,1A,04,E9,84,
-1762630423030064,04056411,true,Rx,0,8,FE,FF,13,00,8F,FD,E9,84,
-1762630423025925,0401E411,true,Rx,0,7,00,05,E7,00,D6,FE,01,00,
-1762630423025797,0401E411,true,Rx,0,7,01,05,FF,FF,A4,FE,01,00,
-1762630423025669,0401E451,true,Rx,0,8,00,EE,85,01,00,00,E3,F8,
-1762630423025541,0401E451,true,Rx,0,8,01,EE,7D,00,00,00,9E,FA,
-1762630423020080,0401E481,true,Rx,0,4,11,01,D1,FE,00,00,00,00,
-1762630423019995,0401E481,true,Rx,0,4,11,00,D7,FE,00,00,00,00,
-1762630423019867,0401E481,true,Rx,0,4,12,00,46,FE,00,00,00,00,
-1762630423019781,0401E481,true,Rx,0,4,12,01,62,FF,00,00,00,00,
-1762630423012614,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423011846,040A2012,true,Rx,0,8,BD,FF,0A,00,B6,02,FA,84,
-1762630423011760,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423011632,04056412,true,Rx,0,8,F9,FF,0D,00,94,00,FA,84,
-1762630423011504,0401E412,true,Rx,0,7,00,05,46,00,8C,FE,01,00,
-1762630423011334,0401E412,true,Rx,0,7,01,05,F7,FF,04,FF,01,00,
-1762630423011206,0401E452,true,Rx,0,8,01,FB,C8,01,00,00,06,FC,
-1762630423011078,0401E452,true,Rx,0,8,00,FB,CE,FF,FF,FF,0E,F7,
-1762630423010182,040A2011,true,Rx,0,8,1B,00,C1,FF,57,04,FD,84,
-1762630423010054,04056411,true,Rx,0,8,FE,FF,13,00,8F,FD,FD,84,
-1762630423009926,040D6863,true,Rx,0,6,00,76,01,00,00,00,00,00,
