Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423065367,04056411,true,Rx,0,8,FC,FF,09,00,50,FC,1B,D8,
-1762630423064855,040A2012,true,Rx,0,8,84,FF,97,FF,33,04,1B,D8,
-1762630423064684,04056412,true,Rx,0,8,03,00,0B,00,CA,04,1B,D8,
-1762630423062594,0405C40F,true,Rx,0,8,00,01,D6,38,C0,37,7A,1B,
-1762630423062466,0405C42F,true,Rx,0,8,00,64,0C,27,35,00,F5,FF,
-1762630423062295,0405C40F,true,Rx,0,8,01,01,3A,3A,94,38,C4,0C,
-1762630423062167,0405C42F,true,Rx,0,8,01,64,D8,28,41,00,B9,FF,
-1762630423062082,0405C52F,true,Rx,0,5,00,FA,FF,2B,00,00,00,00,
-1762630423061911,0405C40F,true,Rx,0,8,02,01,14,3D,6C,39,16,E8,
-1762630423061783,0405C42F,true,Rx,0,8,02,64,30,24,ED,FF,3E,00,
-1762630423061655,0405C52F,true,Rx,0,5,02,40,00,DD,FF,00,00,00,
-1762630423061570,0405C52F,true,Rx,0,5,01,39,00,16,00,00,00,00,
-1762630423061186,0401E411,true,Rx,0,7,00,05,22,00,79,FF,01,00,
-1762630423061058,0401E411,true,Rx,0,7,01,05,03,00,BD,FF,01,00,
-1762630423060930,0401E451,true,Rx,0,8,01,20,53,FF,FF,FF,C5,FE,
-1762630423060802,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423060631,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423060503,0401E451,true,Rx,0,8,00,20,6B,00,00,00,7D,FC,
-1762630423060418,0401E481,true,Rx,0,4,11,01,B2,FF,00,00,00,00,
-1762630423060290,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423060204,0401E481,true,Rx,0,4,12,01,70,FF,00,00,00,00,
-1762630423060119,0401E481,true,Rx,0,4,12,00,96,FF,00,00,00,00,
-1762630423059948,0405C410,true,Rx,0,8,00,01,BF,42,96,5A,07,1C,
-1762630423059820,0405C430,true,Rx,0,8,00,64,A7,2B,D4,FF,B8,00,
-1762630423059692,0405C410,true,Rx,0,8,01,01,C4,42,BE,5A,CE,35,
-1762630423059564,0405C430,true,Rx,0,8,01,64,8F,2B,8A,00,62,01,
-1762630423059394,0405C530,true,Rx,0,5,01,A2,00,63,FF,00,00,00,
-1762630423059308,0405C410,true,Rx,0,8,02,01,17,3D,C5,58,22,3B,
-1762630423059138,0405C430,true,Rx,0,8,02,64,0C,28,31,00,00,00,
-1762630423059010,0405C530,true,Rx,0,5,02,5C,FF,6A,FF,00,00,00,
-1762630423058925,0405C530,true,Rx,0,5,00,C5,FF,3B,00,00,00,00,
-1762630423054061,04072001,true,Rx,0,4,01,00,01,00,00,00,00,00,
-1762630423052482,0405280C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423048557,0401E412,true,Rx,0,7,00,05,1C,00,9E,FF,01,00,
-1762630423048429,0401E412,true,Rx,0,7,01,05,15,00,73,FF,01,00,
-1762630423048301,0401E452,true,Rx,0,8,01,2C,EF,F6,FF,FF,D8,FB,
-1762630423048130,0401E452,true,Rx,0,8,00,2C,97,F6,FF,FF,B1,FC,
-1762630423045528,040A2011,true,Rx,0,8,C8,00,13,00,26,04,2F,D8,
-1762630423045357,04056411,true,Rx,0,8,FC,FF,09,00,51,FC,2F,D8,
-1762630423045272,0405280B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423044888,040A2012,true,Rx,0,8,6C,FF,52,00,DE,03,2F,D8,
-1762630423044717,04056412,true,Rx,0,8,02,00,0C,00,CC,04,2F,D8,
-1762630423041176,0401E411,true,Rx,0,7,00,05,1E,00,79,FF,01,00,
-1762630423041048,0401E411,true,Rx,0,7,01,05,02,00,BD,FF,01,00,
-1762630423040920,0401E451,true,Rx,0,8,01,34,53,FF,FF,FF,BD,FE,
-1762630423040792,0401E451,true,Rx,0,8,00,34,6A,00,00,00,7B,FC,
-1762630423040664,0401E481,true,Rx,0,4,11,01,B2,FF,00,00,00,00,
-1762630423040579,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423040451,0401E481,true,Rx,0,4,12,01,70,FF,00,00,00,00,
-1762630423040365,0401E481,true,Rx,0,4,12,00,96,FF,00,00,00,00,
-1762630423033880,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423030979,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423028590,0401E412,true,Rx,0,7,00,05,1C,00,97,FF,01,00,
-1762630423028419,0401E412,true,Rx,0,7,01,05,18,00,68,FF,01,00,
-1762630423028291,0401E452,true,Rx,0,8,01,40,EE,F6,FF,FF,DE,FB,
-1762630423028163,0401E452,true,Rx,0,8,00,40,96,F6,FF,FF,B1,FC,
-1762630423025518,040A2011,true,Rx,0,8,77,FF,A9,FF,62,03,43,D8,
-1762630423025347,04056411,true,Rx,0,8,FC,FF,08,00,53,FC,43,D8,
-1762630423025134,0405240A,true,Rx,0,3,31,01,00,00,00,00,00,00,
-1762630423024878,040A2012,true,Rx,0,8,25,00,8E,00,0C,04,43,D8,
-1762630423024750,04056412,true,Rx,0,8,03,00,0C,00,CD,04,43,D8,
-1762630423021209,0401E411,true,Rx,0,7,00,05,21,00,78,FF,01,00,
-1762630423021081,0401E411,true,Rx,0,7,01,05,00,00,BD,FF,01,00,
-1762630423020910,0401E451,true,Rx,0,8,00,48,69,00,00,00,7A,FC,
-1762630423020782,0401E451,true,Rx,0,8,01,48,52,FF,FF,FF,B5,FE,
-1762630423020697,0401E481,true,Rx,0,4,11,01,B3,FF,00,00,00,00,
-1762630423020569,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423020483,0401E481,true,Rx,0,4,12,01,72,FF,00,00,00,00,
-1762630423020355,0401E481,true,Rx,0,4,12,00,94,FF,00,00,00,00,
-1762630423012804,04030C82,true,Rx,0,4,00,01,00,00,00,00,00,00,
-1762630423012676,0405C40F,true,Rx,0,8,00,01,D2,38,93,37,88,1B,
-1762630423012548,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630423012420,0405C42F,true,Rx,0,8,00,64,FB,26,05,00,DB,FF,
-1762630423012249,0405C40F,true,Rx,0,8,01,01,3E,3A,7C,38,5D,0D,
-1762630423012121,0405C42F,true,Rx,0,8,01,64,D7,28,46,00,FD,FF,
-1762630423012036,0405C52F,true,Rx,0,5,00,E8,FF,00,00,00,00,00,
-1762630423011865,0405C40F,true,Rx,0,8,02,01,0B,3D,7A,39,08,E8,
-1762630423011737,0405C42F,true,Rx,0,8,02,64,9D,24,DE,FF,36,00,
-1762630423011609,0405C52F,true,Rx,0,5,02,37,00,D9,FF,00,00,00,
-1762630423011524,0405C52F,true,Rx,0,5,01,38,00,A8,FF,00,00,00,
-1762630423010884,0405C410,true,Rx,0,8,00,01,C8,42,7D,5A,1F,19,
-1762630423010756,0405C430,true,Rx,0,8,00,64,B6,2B,D7,FF,C9,00,
-1762630423010628,0405C410,true,Rx,0,8,01,01,FD,42,99,5A,6E,35,
-1762630423010500,0405C430,true,Rx,0,8,01,64,97,2B,42,00,98,FF,
-1762630423010372,0405C530,true,Rx,0,5,00,1E,00,5A,00,00,00,00,
-1762630423010244,0405C410,true,Rx,0,8,02,01,5F,3D,67,58,36,3B,
-1762630423010116,0405C430,true,Rx,0,8,02,64,19,28,63,00,A0,FF,
-1762630423009988,0405C530,true,Rx,0,5,02,2F,FF,5D,FF,00,00,00,
-1762630423009860,0405C530,true,Rx,0,5,01,9F,00,7D,FF,00,00,00,
-1762630423008537,0401E412,true,Rx,0,7,00,05,1D,00,94,FF,01,00,
-1762630423008409,0401E412,true,Rx,0,7,01,05,27,00,72,FF,01,00,
-1762630423008281,0401E452,true,Rx,0,8,01,54,EC,F6,FF,FF,DE,FB,
-1762630423008153,0401E432,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423008025,0401E432,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423007897,0401E452,true,Rx,0,8,00,54,95,F6,FF,FF,B1,FC,
-1762630423007599,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423006063,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423005508,040A2011,true,Rx,0,8,F9,FF,09,00,28,04,57,D8,
-1762630423005380,04056411,true,Rx,0,8,FB,FF,09,00,54,FC,57,D8,
-1762630423004868,040A2012,true,Rx,0,8,E4,FF,57,FF,C8,03,57,D8,
-1762630423004740,04056412,true,Rx,0,8,04,00,0C,00,CE,04,57,D8,
-1762630423004100,04072001,true,Rx,0,4,01,00,01,00,00,00,00,00,
-1762630423001199,0401E411,true,Rx,0,7,00,05,23,00,7A,FF,01,00,
-1762630423001071,0401E411,true,Rx,0,7,01,05,FF,FF,BE,FF,01,00,
-1762630423000900,0401E451,true,Rx,0,8,00,5C,67,00,00,00,77,FC,
-1762630423000772,0401E451,true,Rx,0,8,01,5C,51,FF,FF,FF,AD,FE,
-1762630423000687,0401E481,true,Rx,0,4,11,01,B3,FF,00,00,00,00,
-1762630423000559,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423000473,0401E481,true,Rx,0,4,12,01,72,FF,00,00,00,00,
-1762630423000345,0401E481,true,Rx,0,4,12,00,94,FF,00,00,00,00,
-1762630422988570,0401E412,true,Rx,0,7,00,05,16,00,96,FF,01,00,
-1762630422988442,0401E412,true,Rx,0,7,01,05,38,00,7C,FF,01,00,
-1762630422988314,0401E452,true,Rx,0,8,01,68,EB,F6,FF,FF,D7,FB,
-1762630422988143,0401E452,true,Rx,0,8,00,68,94,F6,FF,FF,B0,FC,
-1762630422985498,040A2011,true,Rx,0,8,D4,FF,19,00,97,03,6B,D8,
-1762630422985370,04056411,true,Rx,0,8,FB,FF,08,00,56,FC,6B,D8,
-1762630422984858,040A2012,true,Rx,0,8,EC,FF,EE,00,E1,03,6B,D8,
-1762630422984730,04056412,true,Rx,0,8,04,00,0D,00,CE,04,6B,D8,
-1762630422981189,0401E411,true,Rx,0,7,00,05,29,00,84,FF,01,00,
-1762630422981061,0401E411,true,Rx,0,7,01,05,02,00,BE,FF,01,00,
-1762630422980933,0401E451,true,Rx,0,8,00,70,66,00,00,00,6D,FC,
-1762630422980762,0401E451,true,Rx,0,8,01,70,51,FF,FF,FF,A5,FE,
-1762630422980677,0401E481,true,Rx,0,4,11,01,B3,FF,00,00,00,00,
-1762630422980592,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630422980464,0401E481,true,Rx,0,4,12,01,72,FF,00,00,00,00,
-1762630422980378,0401E481,true,Rx,0,4,12,00,94,FF,00,00,00,00,
-1762630422976965,04098C31,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630422976880,04098C51,true,Rx,0,3,00,F4,FF,00,00,00,00,00,
-1762630422975088,0405240A,true,Rx,0,3,2F,01,00,00,00,00,00,00,
-1762630422968560,0401E412,true,Rx,0,7,00,05,15,00,93,FF,01,00,
-1762630422968432,0401E412,true,Rx,0,7,01,05,35,00,80,FF,01,00,
-1762630422968304,0401E452,true,Rx,0,8,01,7C,E9,F6,FF,FF,CD,FB,
-1762630422968133,0401E452,true,Rx,0,8,00,7C,92,F6,FF,FF,B0,FC,
-1762630422965488,040A2011,true,Rx,0,8,88,FF,2F,00,98,03,7F,D8,
-1762630422965360,04056411,true,Rx,0,8,FA,FF,09,00,57,FC,7F,D8,
-1762630422964891,040A2012,true,Rx,0,8,A7,00,BE,FF,D4,03,7F,D8,
-1762630422964763,04056412,true,Rx,0,8,05,00,0D,00,CF,04,7F,D8,
-1762630422962715,0405C40F,true,Rx,0,8,00,01,E3,38,97,37,BE,1B,
-1762630422962587,0405C42F,true,Rx,0,8,00,64,F8,26,21,00,D0,FF,
-1762630422962459,0405C40F,true,Rx,0,8,01,01,43,3A,7A,38,9A,0D,
-1762630422962288,0405C42F,true,Rx,0,8,01,64,CF,28,3E,00,3E,00,
-1762630422962203,0405C52F,true,Rx,0,5,00,3D,00,E6,FF,00,00,00,
-1762630422962032,0405C40F,true,Rx,0,8,02,01,03,3D,91,39,4A,E8,
-1762630422961904,0405C42F,true,Rx,0,8,02,64,27,25,DA,FF,32,00,
